Symbol,Name,Price,Price Change,% Chg,Volume,Avg Volume,Relative Volume,Market Cap,Div Yield %,P/E Ratio,14-Day RSI,IV30,IV % Rank,1-Day Volatility,20-Day Volatility,1-Year Volatility,MA Technical Signal,CBOE Weeklys,Options Cadence,Country,Has Options,Stock Idea,Recommended Strategy,Notes,Source,Updated At
NOW,Servicenow,$132.53,+1.36,+1.04%,9359540,24293732,0.3853,137.0 B,0.0,81.9437,54.55,50.48,0.46,31.11,54.84,53.01,Bullish Crossover,Yes (CBOE),Daily / Multi-Weekly,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 54.55 | IV30: 50.48% | Cadence: Daily / Multi-Weekly | MktCap: 137.0 B | Signal: Bullish Crossover,marketchameleon,2026-09-12T16:51:14.225663+00:00
BULL,Webull - Class A,$9.22,-0.08,-0.86%,9605887,12262874,0.7833,5.0 B,0.0,15.2459,58.43,57.53,0.04,50.75,61.55,61.64,Bullish Crossover,Yes (CBOE),Daily / Multi-Weekly,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 58.43 | IV30: 57.53% | Cadence: Daily / Multi-Weekly | MktCap: 5.0 B | Signal: Bullish Crossover,marketchameleon,2026-09-12T16:51:14.226252+00:00
NSIT,Insight Enterprises,$165.37,+9.50,+6.09%,247767,446840,0.5545,4.9 B,0.0,23.0592,69.98,41.53,0.52,78.68,32.21,44.26,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 69.98 | IV30: 41.53% | Cadence: Monthly Only | MktCap: 4.9 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226294+00:00
DK,Delek US Holdings,$76.10,+1.21,+1.62%,2257374,1297353,1.74,4.7 B,1.34,20.406,64.91,65.94,0.83,54.55,63.75,57.78,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 64.91 | IV30: 65.94% | Cadence: Monthly Only | MktCap: 4.7 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226335+00:00
PLSE,Pulse Biosciences,$53.11,-1.32,-2.43%,636971,416647,1.5288,3.8 B,0.0,0.0,65.13,61.75,0.79,109.94,77.75,74.21,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 65.13 | IV30: 61.75% | Cadence: Monthly Only | MktCap: 3.8 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226374+00:00
WT,WisdomTree,$23.93,-0.33,-1.36%,1764325,2750117,0.6415,3.6 B,0.5,44.1091,56.73,40.77,0.63,46.98,41.87,42.58,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 56.73 | IV30: 40.77% | Cadence: Monthly Only | MktCap: 3.6 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226415+00:00
SPSC,SPS Commerce,$82.68,+5.45,+7.06%,1778360,592804,2.9999,3.0 B,0.0,37.1298,60.35,45.14,0.72,148.06,40.05,44.8,Bullish Crossover,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 60.35 | IV30: 45.14% | Cadence: Monthly Only | MktCap: 3.0 B | Signal: Bullish Crossover,marketchameleon,2026-09-12T16:51:14.226466+00:00
HOG,Harley-Davidson,$27.87,+0.91,+3.38%,1390204,2420900,0.5743,2.9 B,2.69,14.9778,55.68,36.5,0.05,38.29,39.34,39.78,Uptrend,Yes (CBOE),Weekly,United States of America,Yes,Momentum Stocks,COVERED_CALL,RSI: 55.68 | IV30: 36.5% | Cadence: Weekly | MktCap: 2.9 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226510+00:00
VIR,Vir Biotechnology,$10.62,+0.04,+0.38%,1962057,1757115,1.1166,1.7 B,0.0,0.0,55.38,53.53,0.24,63.6,59.89,63.69,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 55.38 | IV30: 53.53% | Cadence: Monthly Only | MktCap: 1.7 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226549+00:00
NMAX,Newsmax Class B,$11.39,+0.41,+3.73%,2250724,1166929,1.9288,1.5 B,0.0,64.5882,66.14,59.34,0.19,97.78,62.38,67.71,Uptrend,Yes (CBOE),Weekly,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 66.14 | IV30: 59.34% | Cadence: Weekly | MktCap: 1.5 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226588+00:00
OPY,Oppenheimer Hldgs,$123.29,-0.54,-0.44%,92279,109338,0.844,1.3 B,0.65,13.7436,62.33,34.16,0.43,37.96,39.42,48.64,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,COVERED_CALL,RSI: 62.33 | IV30: 34.16% | Cadence: Monthly Only | MktCap: 1.3 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226630+00:00
RDVT,Red Violet - Common,$75.02,+1.97,+2.70%,148322,207750,0.7139,1.2 B,0.0,64.0789,59.25,37.08,0.25,31.43,48.25,52.79,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,COVERED_CALL,RSI: 59.25 | IV30: 37.08% | Cadence: Monthly Only | MktCap: 1.2 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226673+00:00
PD,Pagerduty,$14.09,+0.34,+2.47%,1163559,1745555,0.6666,1.1 B,0.0,6.7734,68.07,56.99,0.38,50.77,43.76,55.39,Uptrend,No,Monthly Only,United States of America,Yes,Momentum Stocks,BULL_PUT_SPREAD,RSI: 68.07 | IV30: 56.99% | Cadence: Monthly Only | MktCap: 1.1 B | Signal: Uptrend,marketchameleon,2026-09-12T16:51:14.226715+00:00
